Age,Commit message (Expand),Author,Files,Lines
2022-09-29,tracing/user_events: Ensure user provided strings are safely formatted,Beau Belgrave,1,-32/+59
2022-09-29,tracing/user_events: Use WRITE instead of READ for io vector import,Beau Belgrave,1,-1/+2
2022-09-29,tracing/user_events: Use NULL for strstr checks,Beau Belgrave,1,-3/+3
2022-09-27,nvme: Fix IOC_PR_CLEAR and IOC_PR_RELEASE ioctls for nvme devices,Michael Kelley,1,-3/+3
2022-09-25,MAINTAINERS: Add Tom Talpey as cifs.ko reviewer,Steve French,1,-0/+1
2022-09-23,Drivers: hv: vmbus: Use PCI_VENDOR_ID_MICROSOFT for better discoverability,Easwar Hariharan,1,-1/+1
2022-09-23,drm/hyperv: Don't overwrite dirt_needed value set by host,Saurabh Sengar,1,-2/+0
2022-09-23,Drivers: hv: vmbus: Optimize vmbus_on_event,Saurabh Sengar,2,-19/+23
2022-09-22,md: Replace snprintf with scnprintf,Saurabh Sengar,1,-1/+1
2022-09-19,net: mana: Add rmb after checking owner bits,Haiyang Zhang,1,-0/+10
2022-09-14,cifs: update internal module number,Steve French,1,-2/+2
2022-08-30,smb3: use filemap_write_and_wait_range instead of filemap_write_and_wait,Steve French,2,-4/+13
2022-08-28,smb3: fix temporary data corruption in collapse range,Steve French,1,-10/+16
2022-08-15,cifs: missing directory in MAINTAINERS file,Steve French,1,-0/+1
2022-08-11,scsi: storvsc: Remove WQ_MEM_RECLAIM from storvsc_error_wq,Saurabh Sengar,1,-1/+1
2022-08-11,SMB3: fix lease break timeout when multiple deferred close handles for the sa...,Bharath SM,1,-19/+1
2022-08-11,smb3: allow deferred close timeout to be configurable,Steve French,5,-2/+22
2022-08-10,perf inject jit: Ignore memfd and anonymous mmap events if jitdump present,Brian Robbins,1,-2/+7
2022-08-05,cifs: update internal module number,Steve French,1,-2/+2
2022-08-05,cifs: alloc_mid function should be marked as static,Steve French,2,-4/+1
2022-08-05,cifs: when insecure legacy is disabled shrink amount of SMB1 code,Steve French,13,-463/+582
2022-08-04,iommu/hyper-v: Use helper instead of directly accessing affinity,Michael Kelley,1,-3/+1
2022-08-02,nvme: handle the persistent internal error AER,Michael Kelley,2,-2/+33
2022-08-01,cifs: trivial style fixup,Steve French,1,-0/+1
2022-08-01,cifs: avoid use of global locks for high contention data,Shyam Prasad N,13,-243/+336
2022-08-01,cifs: remove remaining build warnings,Steve French,2,-11/+30
2022-08-01,cifs: update MAINTAINERS file with reviewers,Steve French,1,-2/+5
2022-08-01,cifs: remove minor build warning,Steve French,2,-2/+4
2022-08-01,cifs: remove some camelCase and also some static build warnings,Steve French,7,-27/+34
2022-08-01,smb3: check xattr value length earlier,Steve French,1,-2/+3
2022-07-28,swiotlb: fix passing local variable to debugfs_create_ulong(),Tianyu Lan,1,-3/+9
2022-07-22,swiotlb: clean up some coding style and minor issues,Tianyu Lan,2,-12/+17
2022-07-16,net/9p: Initialize the iounit field during fid creation,Tyler Hicks,1,-4/+1
2022-07-13,smb3: workaround negprot bug in some Samba servers,Steve French,1,-6/+7
2022-07-13,Documentation: hyperv: Add overview of clocks and timers,Michael Kelley,2,-0/+74
2022-07-13,Documentation: hyperv: Add overview of VMbus,Michael Kelley,2,-0/+304
2022-07-13,Documentation: hyperv: Add overview of Hyper-V enlightenments,Michael Kelley,4,-0/+219
2022-07-13,swiotlb: split up the global swiotlb lock,Tianyu Lan,3,-41/+197
2022-07-12,cifs: remove unnecessary locking of chan_lock while freeing session,Shyam Prasad N,1,-2/+0
2022-07-12,cifs: fix race condition with delayed threads,Shyam Prasad N,1,-2/+9
2022-07-11,drm/hyperv : Removing the restruction of VRAM allocation with PCI bar size,Saurabh Sengar,1,-71/+3
2022-07-11,Drivers: hv: vm_bus: Handle vmbus rescind calls after vmbus is suspended,Shradha Gupta,3,-8/+37
2022-07-02,9p: Fix minor typo in code comment,Tyler Hicks,1,-1/+1
2022-07-02,9p: Remove unnecessary variable for old fids while walking from d_parent,Tyler Hicks,1,-3/+3
