Age,Commit message (Expand),Author,Files,Lines
2021-12-10,arm64: Make profile_pc() use arch_stack_walk(),Madhavan T. Venkataraman,1,-12/+13
2021-12-10,arm64: Make return_address() use arch_stack_walk(),Madhavan T. Venkataraman,1,-6/+2
2021-12-10,arm64: Make __get_wchan() use arch_stack_walk(),Madhavan T. Venkataraman,1,-17/+25
2021-12-10,arm64: Make perf_callchain_kernel() use arch_stack_walk(),Madhavan T. Venkataraman,1,-12/+3
2021-12-07,platform: surface: Propagate ACPI Dependency,Jarrett Schultz,2,-1/+7
2021-12-03,cifs: avoid use of dstaddr as key for fscache client cookie,Shyam Prasad N,1,-37/+1
2021-12-03,cifs: add server conn_id to fscache client cookie,Shyam Prasad N,2,-0/+14
2021-12-03,cifs: wait for tcon resource_id before getting fscache super,Shyam Prasad N,3,-7/+8
2021-11-23,cifs: update internal version number,Steve French,1,-1/+1
2021-11-23,smb2: clarify rc initialization in smb2_reconnect,Steve French,1,-1/+1
2021-11-23,cifs: populate server_hostname for extra channels,Shyam Prasad N,1,-0/+1
2021-11-23,cifs: nosharesock should be set on new server,Shyam Prasad N,1,-3/+4
2021-11-22,net: mana: Add XDP support,Haiyang Zhang,4,-11/+235
2021-11-22,firmware: smccc: Fix check for ARCH_SOC_ID not implemented,Michael Kelley,1,-1/+1
2021-11-16,cifs: protect srv_count with cifs_tcp_ses_lock,Steve French,1,-0/+2
2021-11-16,cifs: move debug print out of spinlock,Steve French,1,-1/+1
2021-11-12,cifs: do not duplicate fscache cookie for secondary channels,Shyam Prasad N,1,-2/+7
2021-11-12,cifs: connect individual channel servers to primary channel server,Shyam Prasad N,6,-14/+36
2021-11-12,cifs: protect session channel fields with chan_lock,Shyam Prasad N,6,-15/+71
2021-11-12,cifs: do not negotiate session if session already exists,Shyam Prasad N,1,-8/+10
2021-11-12,smb3: do not setup the fscache_super_cookie until fsinfo initialized,Steve French,2,-2/+14
2021-11-12,smb3: add additional null check in SMB311_posix_mkdir,Steve French,1,-0/+11
2021-11-12,cifs: release lock earlier in dequeue_mid error case,Steve French,1,-3/+4
2021-11-12,smb3: add additional null check in SMB2_tcon,Steve French,1,-1/+1
2021-11-12,smb3: add additional null check in SMB2_open,Steve French,1,-1/+3
2021-11-11,smb3: add additional null check in SMB2_ioctl,Steve French,1,-0/+10
2021-11-10,smb3: remove trivial dfs compile warning,Steve French,1,-2/+2
2021-11-10,smb3: do not error on fsync when readonly,Steve French,1,-6/+29
2021-11-10,"cifs: for compound requests, use open handle if possible",Shyam Prasad N,1,-5/+17
2021-11-08,cifs: send workstation name during ntlmssp session setup,Shyam Prasad N,8,-85/+170
2021-11-07,cifs: nosharesock should not share socket with future sessions,Shyam Prasad N,3,-1/+10
2021-11-05,smb3: add dynamic trace points for socket connection,Steve French,2,-1/+73
2021-11-02,cifs: add mount parameter tcpnodelay,Steve French,2,-0/+9
2021-11-02,"cifs: To match file servers, make sure the server hostname matches",Shyam Prasad N,3,-8/+20
2021-11-01,net: mana: Support hibernation and kexec,Dexuan Cui,3,-52/+164
2021-11-01,net: mana: Improve the HWC error handling,Dexuan Cui,2,-44/+31
2021-11-01,net: mana: Report OS info to the PF driver,Dexuan Cui,1,-0/+11
2021-11-01,net: mana: Fix the netdev_err()'s vPort argument in mana_init_port(),Dexuan Cui,1,-1/+2
2021-10-28,Drivers: hv: vmbus: Remove unused code to check for subchannels,Michael Kelley,2,-47/+0
2021-10-28,Drivers: hv: vmbus: Initialize VMbus ring buffer for Isolation VM,Tianyu Lan,3,-22/+53
2021-10-28,Drivers: hv: vmbus: Add SNP support for VMbus channel initiate message,Tianyu Lan,2,-6/+91
2021-10-28,x86/hyperv: Add ghcb hvcall support for SNP VM,Tianyu Lan,5,-2/+94
2021-10-28,x86/hyperv: Add Write/Read MSR registers via ghcb page,Tianyu Lan,6,-59/+232
2021-10-28,Drivers: hv: vmbus: Mark vmbus ring buffer visible to host in Isolation VM,Tianyu Lan,5,-38/+65
2021-10-28,x86/hyperv: Add new hvcall guest address host visibility support,Tianyu Lan,7,-7/+154
2021-10-28,x86/hyperv: Initialize shared memory boundary in the Isolation VM.,Tianyu Lan,2,-1/+13
2021-10-28,x86/hyperv: Initialize GHCB page in Isolation VM,Tianyu Lan,4,-7/+74
2021-10-26,net: mana: Allow setting the number of queues while the NIC is down,Haiyang Zhang,2,-13/+9
2021-10-25,x86/sev: Expose sev_es_ghcb_hv_call() for use by HyperV,Tianyu Lan,3,-15/+29
2021-10-15,drm/hyperv: Fix double mouse pointers,Dexuan Cui,3,-1/+55
2021-10-12,scsi: storvsc: Fix validation for unsolicited incoming packets,Andrea Parri (Microsoft),1,-9/+23
2021-10-12,scsi: core: Fix shost->cmd_per_lun calculation in scsi_add_host_with_dma(),Dexuan Cui,1,-1/+2
2021-10-08,net: mana: Fix error handling in mana_create_rxq(),Haiyang Zhang,1,-1/+3
2021-09-24,PCI: hv: Fix sleep while in non-sleep context when removing child devices fro...,Long Li,1,-3/+10
2021-09-23,cifs: fix incorrect check for null pointer in header_assemble,Steve French,1,-2/+3
2021-09-23,smb3: correct server pointer dereferencing check to be more consistent,Steve French,1,-1/+2
2021-09-23,smb3: correct smb3 ACL security descriptor,Steve French,1,-2/+2
2021-09-23,cifs: Clear modified attribute bit from inode flags,Steve French,1,-1/+1
2021-09-21,ksmbd: log that server is experimental at module load,Steve French,1,-0/+3
2021-09-17,cifs: Not to defer close on file when lock is set,Rohith Surabattula,2,-0/+3
2021-09-17,cifs: Fix soft lockup during fsstress,Rohith Surabattula,1,-2/+2
2021-09-17,cifs: Deferred close performance improvements,Rohith Surabattula,3,-3/+43
2021-09-15,bpf: Update bpf_get_smp_processor_id() documentation,Matteo Croce,2,-2/+2
2021-09-15,HID: core: add TransducerSerialNumber2,Felipe Balbi,2,-0/+2
2021-09-13,cifs: fix incorrect kernel doc comments,Steve French,2,-3/+11
2021-09-13,cifs: remove pathname for file from SPDX header,Steve French,48,-49/+8
2021-09-09,cifs: move SMB FSCTL definitions to common code,Steve French,2,-1/+1
2021-09-08,cifs: rename cifs_common to smbfs_common,Steve French,9,-10/+10
2021-09-08,cifs: update FSCTL definitions,Steve French,1,-3/+13
2021-08-25,cifs: add cifs_common directory to MAINTAINERS file,Steve French,1,-0/+1
2021-08-25,cifs: cifs_md4 convert to SPDX identifier,Steve French,2,-6/+1
2021-08-25,cifs: enable fscache usage even for files opened as rw,Shyam Prasad N,6,-11/+76
2021-08-25,oid_registry: Add OIDs for missing Spnego auth mechanisms to Macs,Steve French,1,-0/+7
2021-08-25,smb3: fix posix extensions mount option,Steve French,1,-2/+9
2021-08-25,net: mana: Add WARN_ON_ONCE in case of CQE read overflow,Haiyang Zhang,1,-1/+1
2021-08-25,net: mana: Add support for EQ sharing,Haiyang Zhang,4,-56/+78
2021-08-25,net: mana: Move NAPI from EQ to CQ,Haiyang Zhang,5,-103/+74
2021-08-20,dm ima: update dm documentation for ima measurement support,Tushar Sugandhi,1,-209/+618
2021-08-20,dm ima: update dm target attributes for ima measurements,Tushar Sugandhi,3,-9/+20
2021-08-20,dm ima: add a warning in dm_init if duplicate ima events are not measured,Tushar Sugandhi,1,-3/+6
2021-08-20,dm ima: prefix ima event name related to device mapper with dm_,Tushar Sugandhi,1,-9/+10
2021-08-20,dm ima: add version info to dm related events in ima log,Tushar Sugandhi,2,-12/+57
2021-08-20,dm ima: prefix dm table hashes in ima log with hash algorithm,Tushar Sugandhi,2,-3/+12
2021-08-13,PCI: hv: Support for create interrupt v3,Sunil Muthuswamy,1,-5/+62
2021-08-12,cifs: Call close synchronously during unlink/rename/lease break.,Rohith Surabattula,3,-30/+56
2021-08-12,cifs: Handle race conditions during rename,Rohith Surabattula,2,-7/+28
2021-08-10,i2c: iproc: fix race between client unreg and tasklet,Dhananjay Phadke,1,-2/+2
2021-08-10,dm: add documentation for IMA measurement support,Tushar Sugandhi,2,-0/+307
2021-08-10,dm: update target status functions to support IMA measurement,Tushar Sugandhi,32,-2/+328
2021-08-10,dm ima: measure data on device rename,Tushar Sugandhi,3,-0/+53
2021-08-10,dm ima: measure data on table clear,Tushar Sugandhi,3,-0/+97
2021-08-10,dm ima: measure data on device remove,Tushar Sugandhi,3,-0/+124
2021-08-10,dm ima: measure data on device resume,Tushar Sugandhi,3,-2/+125
2021-08-10,dm ima: measure data on table load,Tushar Sugandhi,9,-2/+415
2021-08-09,scsi: storvsc: Log TEST_UNIT_READY errors as warnings,Michael Kelley,1,-2/+12
2021-08-06,selftests/bpf: Fix bpf-iter-tcp4 test to print correctly the dest IP,Jose Blanquicet,1,-1/+1
2021-08-05,cifs: create sd context must be a multiple of 8,Shyam Prasad N,1,-1/+1
2021-08-05,arm64: dts: qcom: sm8150: add SPI nodes,Felipe Balbi,1,-0/+439
2021-08-04,Drivers: hv: Enable Hyper-V code to be built on ARM64,Michael Kelley,1,-3/+4
2021-08-04,arm64: efi: Export screen_info,Michael Kelley,1,-0/+1
2021-08-04,arm64: hyperv: Initialize hypervisor on boot,Michael Kelley,2,-1/+88
2021-08-04,arm64: hyperv: Add panic handler,Michael Kelley,1,-0/+52
2021-08-04,arm64: hyperv: Add Hyper-V hypercall and register access utilities,Michael Kelley,6,-0/+258
2021-08-04,x86/hyperv: fix root partition faults when writing to VP assist page MSR,Praveen Kumar,2,-20/+53
2021-08-02,loop: raise media_change event,Matteo Croce,1,-0/+5
